epoch,T1_fp32,T2_fp32,T3_fp32,T4_fp32,T1_bf16,T2_bf16,T3_bf16,T4_bf16
75,0.9659,0.9664,0.9654,0.9660,0.9647,0.9654,0.9654,0.9664
76,0.9669,0.9658,0.9660,0.9660,0.9668,0.9666,0.9660,0.9664
77,0.9629,0.9659,0.9663,0.9662,0.9666,0.9658,0.9660,0.9657
78,0.9660,0.9665,0.9660,0.9637,0.9671,0.9662,0.9658,0.9531
79,0.9662,0.9664,0.9662,0.9656,0.9669,0.9650,0.9656,0.9665
80,0.9649,0.9658,0.9660,0.9652,0.9671,0.9663,0.9659,0.9658
81,0.9664,0.9660,0.9661,0.9662,0.9667,0.9668,0.9663,0.9659
82,0.9667,0.9664,0.9663,0.9661,0.9669,0.9660,0.9658,0.9657
83,0.9661,0.9666,0.9663,0.9665,0.9673,0.9659,0.9654,0.9666
84,0.9665,0.9664,0.9660,0.9670,0.9663,0.9657,0.9659,0.9663
85,0.9665,0.9667,0.9660,0.9666,0.9668,0.9660,0.9671,0.9666
86,0.9659,0.9654,0.9661,0.9669,0.9669,0.9665,0.9658,0.9666
87,0.9669,0.9664,0.9659,0.9667,0.9666,0.9666,0.9657,0.9661
88,0.9624,0.9664,0.9666,0.9665,0.9665,0.9665,0.9659,0.9666
89,0.9662,0.9653,0.9664,0.9654,0.9669,0.9657,0.9661,0.9666
90,0.9660,0.9660,0.9641,0.9663,0.9666,0.9664,0.9656,0.9662
91,0.9662,0.9659,0.9664,0.9639,0.9671,0.9667,0.9659,0.9652
92,0.9603,0.9664,0.9670,0.9669,0.9671,0.9662,0.9661,0.9671
93,0.9641,0.9666,0.9665,0.9667,0.9671,0.9664,0.9656,0.9663
94,0.9662,0.9669,0.9663,0.9665,0.9673,0.9669,0.9659,0.9666
95,0.9664,0.9665,0.9661,0.9666,0.9670,0.9669,0.9665,0.9629
96,0.9594,0.9664,0.9666,0.9662,0.9674,0.9663,0.9655,0.9666
97,0.9663,0.9663,0.9666,0.9664,0.9666,0.9665,0.9663,0.9645
98,0.9659,0.9664,0.9659,0.9667,0.9669,0.9669,0.9661,0.9638
99,0.9591,0.9666,0.9660,0.9667,0.9672,0.9664,0.9667,0.9662
100,0.9660,0.9664,0.9657,0.9666,0.9651,0.9662,0.9665,0.9553
